id,name,surname,researchField,company_rank,profile,company_name,industry,city
1.0,Max,Sanchez,Software,,,,,
2.0,Hugo,Scott,Construction,,,,,
3.0,Chloe,Lombardi,Environmental Services,,,,,
4.0,Angelina,Thomas,Health,,,,,
5.0,Irene,Lee,Education,,,,,
6.0,Alice,Martin,Advertising & Marketing,,,,,
7.0,Laura,Lopez,Business Products & Services,,,,,
8.0,Leah,Lombardi,Business Products & Services,,,,,
9.0,Evelyn,Wright,Business Products & Services,,,,,
10.0,Christopher,Wright,Advertising & Marketing,,,,,
11.0,Rebecca,Rossi,Human Resources,,,,,
12.0,Jasmine,Walker,Software,,,,,
13.0,Nicholas,Carter,Software,,,,,
14.0,Elisa,Clark,Construction,,,,,
15.0,Max,Green,Food & Beverage,,,,,
16.0,Dimitris,Sanchez,Food & Beverage,,,,,
17.0,Catherine,Lopez,Software,,,,,
18.0,Joseph,Davis,Government Services,,,,,
19.0,Evelyn,Martin,Health,,,,,
20.0,Leah,Garcia,Media,,,,,
21.0,Isabella,Muller,Consumer Products & Services,,,,,
22.0,Oscar,Muller,Environmental Services,,,,,
23.0,Irene,Lopez,Business Products & Services,,,,,
24.0,Grace,Perez,Government Services,,,,,
25.0,Lucy,Young,Energy,,,,,
26.0,Penelope,Gonzalez,Software,,,,,
27.0,Harris,Jackson,Energy,,,,,
28.0,Christopher,Lombardi,IT Management,,,,,
29.0,Nicole,Hall,Advertising & Marketing,,,,,
30.0,Peter,Garcia,Advertising & Marketing,,,,,
31.0,Ivy,Thomas,Health,,,,,
32.0,Benjamin,Allen,Energy,,,,,
33.0,Lucas,Gonzalez,Consumer Products & Services,,,,,
34.0,Christos,Lombardi,Health,,,,,
35.0,Bianca,Garcia,Retail,,,,,
36.0,Roman,Clark,Real Estate,,,,,
37.0,James,Novak,Software,,,,,
38.0,Martin,Walker,Business Products & Services,,,,,
39.0,Evelyn,Horvath,Business Products & Services,,,,,
40.0,Christina,Martinez,Software,,,,,
41.0,Sara,Nielsen,IT Management,,,,,
42.0,Arthur,Sanchez,Financial Services,,,,,
43.0,Isabella,Wright,Engineering,,,,,
44.0,Sofia,Carter,Retail,,,,,
45.0,Henry,Perez,Software,,,,,
46.0,Roxanne,Kowalski,Advertising & Marketing,,,,,
47.0,Zoe,Jackson,Construction,,,,,
48.0,Irene,Johnson,Food & Beverage,,,,,
49.0,Dimitris,Lopez,Consumer Products & Services,,,,,
50.0,Diana,White,Advertising & Marketing,,,,,
51.0,David,King,Advertising & Marketing,,,,,
52.0,Michael,Moore,Human Resources,,,,,
53.0,Andreas,Perez,Construction,,,,,
54.0,Theodora,Brown,Business Products & Services,,,,,
55.0,Lucas,Baker,Financial Services,,,,,
56.0,Mark,Nielsen,Health,,,,,
57.0,James,Gonzalez,Advertising & Marketing,,,,,
58.0,Andreas,Thompson,Security,,,,,
59.0,Penelope,Kowalski,IT Management,,,,,
60.0,Leo,Gonzalez,Software,,,,,
61.0,Eva,Perez,Software,,,,,
62.0,Jack,Walker,Environmental Services,,,,,
63.0,Marina,Young,Education,,,,,
64.0,Richard,Hall,Logistics & Transportation,,,,,
65.0,Chloe,Walker,Insurance,,,,,
66.0,Leah,Thompson,Health,,,,,
67.0,Jack,Brown,Retail,,,,,
68.0,Maria,White,Telecommunications,,,,,
69.0,Christopher,Wright,Business Products & Services,,,,,
70.0,Alice,Dubois,Consumer Products & Services,,,,,
71.0,Noah,Martin,IT Management,,,,,
72.0,Chloe,Harris,IT Management,,,,,
73.0,Dimitris,Rossi,Education,,,,,
74.0,Veronica,Williams,Health,,,,,
75.0,Julia,Lee,Health,,,,,
76.0,Emily,Young,IT System Development,,,,,
77.0,Jack,Perez,Telecommunications,,,,,
78.0,Alice,Martin,Security,,,,,
79.0,Christina,Adams,Retail,,,,,
80.0,Georgia,Taylor,Software,,,,,
81.0,Elisa,Green,Health,,,,,
82.0,Maria,Moore,Business Products & Services,,,,,
83.0,Liam,Nielsen,Consumer Products & Services,,,,,
84.0,Anthony,Rossi,Media,,,,,
85.0,Matthew,Garcia,Government Services,,,,,
86.0,Leah,Mitchell,Health,,,,,
87.0,Martin,Mitchell,Financial Services,,,,,
88.0,Christina,Harris,Construction,,,,,
89.0,Leah,Martinez,Security,,,,,
90.0,Andreas,Carter,Advertising & Marketing,,,,,
91.0,Oscar,Green,Software,,,,,
92.0,Joseph,Johnson,Advertising & Marketing,,,,,
93.0,Nikoleta,Dubois,Financial Services,,,,,
94.0,Ivy,Johnson,Advertising & Marketing,,,,,
95.0,Roxanne,Robinson,Software,,,,,
96.0,Maria,Miller,IT Management,,,,,
97.0,Diana,Nielsen,Financial Services,,,,,
98.0,Oscar,Horvath,Software,,,,,
99.0,Christos,Harris,Construction,,,,,
100.0,Peter,Clark,Construction,,,,,
101.0,Natalie,Nielsen,Software,,,,,
102.0,Liam,Nielsen,Human Resources,,,,,
103.0,Eva,Baker,Government Services,,,,,
104.0,Victor,Jones,Retail,,,,,
105.0,Leo,Bianchi,Business Products & Services,,,,,
106.0,Anthony,Brown,Construction,,,,,
107.0,Angelina,Scott,Advertising & Marketing,,,,,
108.0,Stella,Moore,IT System Development,,,,,
109.0,Chloe,Lewis,Logistics & Transportation,,,,,
110.0,Stephen,Green,Environmental Services,,,,,
111.0,Angelina,Hernandez,Insurance,,,,,
112.0,Spyros,Taylor,Business Products & Services,,,,,
113.0,Dimitris,Green,Consumer Products & Services,,,,,
114.0,Penelope,Walker,IT Management,,,,,
115.0,Martin,Horvath,Financial Services,,,,,
116.0,Leo,Martin,Software,,,,,
117.0,Anthony,Lopez,Government Services,,,,,
118.0,Paula,Taylor,Financial Services,,,,,
119.0,Joseph,Lewis,Health,,,,,
120.0,Irene,Harris,Food & Beverage,,,,,
121.0,Roxanne,Perez,Human Resources,,,,,
122.0,Sofia,Moore,Manufacturing,,,,,
123.0,Isabella,Baker,Health,,,,,
124.0,Nikoleta,Dubois,Business Products & Services,,,,,
125.0,Christos,Jackson,Consumer Products & Services,,,,,
126.0,Dimitris,Smith,Retail,,,,,
127.0,Liam,Williams,Software,,,,,
128.0,Elisa,Johnson,Advertising & Marketing,,,,,
129.0,Olivia,Muller,Advertising & Marketing,,,,,
130.0,Timothy,Scott,Energy,,,,,
131.0,Oscar,Davis,Advertising & Marketing,,,,,
132.0,Harris,King,Software,,,,,
133.0,Nikoleta,Walker,Construction,,,,,
134.0,Georgia,Wright,Real Estate,,,,,
135.0,Nikoleta,Williams,Software,,,,,
136.0,Isabella,Taylor,Health,,,,,
137.0,Anna,Lopez,Consumer Products & Services,,,,,
138.0,Nicole,Lee,IT Services,,,,,
139.0,Christina,Johnson,Software,,,,,
140.0,Matthew,Martin,Manufacturing,,,,,
141.0,Joseph,Rossi,Construction,,,,,
142.0,Georgia,Nielsen,Government Services,,,,,
143.0,Jason,Novak,IT Management,,,,,
144.0,Bianca,Jackson,Advertising & Marketing,,,,,
145.0,Diana,Williams,Media,,,,,
146.0,Alice,White,Advertising & Marketing,,,,,
147.0,Victor,Schmidt,Business Products & Services,,,,,
148.0,Arthur,Garcia,Engineering,,,,,
149.0,Victor,Robinson,Software,,,,,
150.0,Stella,Bianchi,Construction,,,,,
151.0,Kostas,Walker,IT Management,,,,,
152.0,Eleni,Martinez,Construction,,,,,
153.0,Victor,Schmidt,Financial Services,,,,,
154.0,Grace,White,Software,,,,,
155.0,Julia,Miller,Business Products & Services,,,,,
156.0,Timothy,Jones,Software,,,,,
157.0,Nicole,Jones,Software,,,,,
158.0,Mark,King,Consumer Products & Services,,,,,
159.0,Nicole,Dubois,Health,,,,,
160.0,Spyros,Horvath,Logistics & Transportation,,,,,
161.0,William,Muller,Consumer Products & Services,,,,,
162.0,Andrew,Dubois,Health,,,,,
163.0,Evelyn,Perez,Financial Services,,,,,
164.0,Nadia,Johnson,Construction,,,,,
165.0,Kostas,Smith,Real Estate,,,,,
166.0,Grace,Schmidt,Software,,,,,
167.0,Christopher,Green,Advertising & Marketing,,,,,
168.0,Theodora,Carter,Business Products & Services,,,,,
169.0,Julia,Anderson,Manufacturing,,,,,
170.0,Max,Davis,Business Products & Services,,,,,
171.0,Michael,Schmidt,IT Management,,,,,
172.0,Kostas,Nelson,Food & Beverage,,,,,
173.0,Adrian,Walker,Advertising & Marketing,,,,,
174.0,Philip,Hernandez,Financial Services,,,,,
175.0,Roxanne,Carter,Financial Services,,,,,
176.0,Julia,Lee,Advertising & Marketing,,,,,
177.0,Christos,Gonzalez,Energy,,,,,
178.0,Penelope,Hall,Government Services,,,,,
179.0,Grace,King,Software,,,,,
180.0,Alex,Schmidt,Retail,,,,,
181.0,Leah,Johnson,Real Estate,,,,,
182.0,Julia,Lee,Advertising & Marketing,,,,,
183.0,Eleni,White,Health,,,,,
184.0,Lucas,Allen,Manufacturing,,,,,
185.0,Nicholas,Hernandez,Food & Beverage,,,,,
186.0,Theodora,Davis,Food & Beverage,,,,,
187.0,Eleni,Thompson,Business Products & Services,,,,,
188.0,Leo,Bianchi,IT System Development,,,,,
189.0,Helen,Adams,Real Estate,,,,,
190.0,Leah,Sanchez,Health,,,,,
191.0,Stephen,Robinson,Retail,,,,,
192.0,Nicholas,Lopez,Engineering,,,,,
193.0,Evelyn,Hall,Health,,,,,
194.0,Georgia,Miller,Food & Beverage,,,,,
195.0,Zoe,Martin,Construction,,,,,
196.0,Maria,Perez,Manufacturing,,,,,
197.0,Matthew,Baker,Business Products & Services,,,,,
198.0,Adrian,White,Travel & Hospitality,,,,,
199.0,Benjamin,Sanchez,Human Resources,,,,,
200.0,Leo,Lopez,Business Products & Services,,,,,
201.0,Marta,Novak,Human Resources,,,,,
202.0,Chloe,Green,Business Products & Services,,,,,
203.0,Leo,King,Engineering,,,,,
204.0,Adrian,Jackson,Software,,,,,
205.0,Joseph,Robinson,Business Products & Services,,,,,
206.0,Katerina,Johnson,Government Services,,,,,
207.0,Alex,Wright,Business Products & Services,,,,,
208.0,Christina,Dubois,Financial Services,,,,,
209.0,Marta,Walker,Financial Services,,,,,
210.0,George,Lewis,Security,,,,,
211.0,Marina,Muller,Retail,,,,,
212.0,Thomas,Green,IT Management,,,,,
