id,name,surname,researchfield,university,age
1,Ryan M. H.,Smith-Johnson,Manufacturing,Imperial College London,26
2,Mark,Smith-Williams,Energy,LMU Munich,41
3,Michael D. R.,Smith-Brown,Retail,Aristotle University of Thessaloniki,48
4,Karen P. Z.,Smith-Jones,Advertising & Marketing,RWTH Aachen University,24
5,Timothy O. V.,Smith-Garcia,Energy,University of Pennsylvania,39
6,Emily,Smith-Miller,Logistics & Transportation,University of Oslo,41
7,Patricia,Smith-Davis,Real Estate,University of Amsterdam,52
8,Zoe J. C.,Smith-Rodriguez,IT Management,Harvard University,46
9,Leon B. U.,Smith-Martinez,Advertising & Marketing,Autonomous University of Barcelona,24
10,Zoe T. U.,Smith-Hernandez,Software,National and Kapodistrian University of Athens,29
11,Joshua T. E.,Smith-Lopez,Financial Services,EPFL (École Polytechnique Fédérale de Lausanne),31
12,Nancy S. D.,Smith-Gonzalez,Advertising & Marketing,Aristotle University of Thessaloniki,48
13,Victoria V. D.,Smith-Wilson,Manufacturing,Princeton University,53
14,Ashley,Smith-Anderson,Business Products & Services,École Polytechnique,43
15,Olivia J. O.,Smith-Thomas,Health,University of Bologna,51
16,Nancy Y. W.,Smith-Taylor,Consumer Products & Services,Aristotle University of Thessaloniki,39
17,Paul I. U.,Smith-Moore,Health,Stanford University,34
18,Jeffrey V. D.,Smith-Jackson,Consumer Products & Services,University of Patras,39
19,Charles,Smith-Martin,Business Products & Services,University of Michigan,35
20,Lucas B. P.,Smith-Lee,Real Estate,University of Chicago,43
21,Donald,Smith-Perez,Construction,Johns Hopkins University,32
22,Linda Y. I.,Smith-Thompson,Business Products & Services,University of Glasgow,44
23,Kimberly O. B.,Smith-White,Government Services,University of Copenhagen,54
24,Anthony,Smith-Harris,Logistics & Transportation,University of Toronto,47
25,Daniel,Smith-Sanchez,Consumer Products & Services,University of Warwick,28
26,Daniel O. Y.,Smith-Clark,Construction,London School of Economics and Political Science,52
27,Christopher,Smith-Ramirez,Health,Jagiellonian University,30
28,Steven Q. L.,Smith-Lewis,Financial Services,Charles University,45
29,Paul,Smith-Robinson,Consumer Products & Services,University of Lisbon,30
30,Sandra Y. I.,Smith-Walker,Real Estate,Yale University,45
31,Barbara,Smith-Young,Human Resources,Duke University,44
32,Thomas,Smith-Allen,Business Products & Services,Jagiellonian University,28
33,Andrew,Smith-King,Health,Autonomous University of Barcelona,51
34,Eleni O. O.,Smith-Wright,Software,University of Patras,52
35,Joseph V. L.,Smith-Scott,IT Management,University of Porto,52
36,Mary H. R.,Smith-Torres,IT System Development,Université Paris-Saclay,30
37,Oliver M. G.,Smith-Nguyen,Financial Services,Leiden University,48
38,John N. I.,Smith-Hill,Software,University of Pennsylvania,26
39,Brian M. Q.,Smith-Flores,Human Resources,Aristotle University of Thessaloniki,36
40,Christopher I. P.,Smith-Green,Business Products & Services,University of Copenhagen,44
41,Mark,Smith-Adams,Consumer Products & Services,University of Oxford,50
42,Alexander V. C.,Smith-Nelson,IT Management,University of Oslo,41
43,Victoria G. U.,Smith-Baker,Financial Services,Yale University,50
44,Elizabeth Z. M.,Smith-Hall,Construction,Eindhoven University of Technology,35
45,Jeffrey J. N.,Smith-Rivera,Advertising & Marketing,University of Oslo,43
46,Donna Q. J.,Smith-Campbell,Logistics & Transportation,Heidelberg University,40
47,Mia Y. N.,Smith-Mitchell,Manufacturing,UCL (University College London),29
48,Benjamin Q. I.,Smith-Carter,Logistics & Transportation,University of Helsinki,54
49,Paul,Smith-Roberts,Health,Princeton University,40
50,Michael N. J.,Smith-Phillips,Government Services,University of Valencia,38
51,Richard W. V.,Smith-Evans,Software,KTH Royal Institute of Technology,28
52,Mason P. U.,Smith-Turner,Financial Services,Politecnico di Milano,45
53,Giannis K. P.,Smith-Diaz,Advertising & Marketing,University of Zurich,25
54,Lucas V. N.,Smith-Parker,Energy,California Institute of Technology,51
55,Hannah M. I.,Smith-Cruz,Advertising & Marketing,National and Kapodistrian University of Athens,45
56,Joseph,Smith-Edwards,Retail,Trinity College Dublin,25
57,Daniel,Smith-Collins,Human Resources,Eindhoven University of Technology,51
58,Mateo E. W.,Smith-Reyes,Business Products & Services,Politecnico di Milano,41
59,Charles E. L.,Smith-Stewart,IT Management,Yale University,47
60,Andrew B. Y.,Smith-Morris,Consumer Products & Services,Eindhoven University of Technology,45
61,Betty,Smith-Morales,Software,University of Edinburgh,28
62,James M. L.,Smith-Murphy,Financial Services,University of Barcelona,30
63,Paul,Smith-Cook,Health,Politecnico di Milano,49
64,Sandra,Smith-Rogers,IT Management,University of Michigan,28
65,Theo A. F.,Smith-Gutierrez,Business Products & Services,The University of Texas at Austin,54
66,Charlotte Q. P.,Smith-Ortiz,Manufacturing,University of Porto,25
67,Nancy Z. X.,Smith-Morgan,Real Estate,KTH Royal Institute of Technology,36
68,Kimberly,Smith-Cooper,Advertising & Marketing,University of Lisbon,25
69,Lisa M. O.,Smith-Peterson,Logistics & Transportation,University of Geneva,30
70,Lucas R. C.,Smith-Bailey,IT Management,Princeton University,38
71,Michelle,Smith-Reed,Travel & Hospitality,University of Manchester,30
72,Camila G. S.,Smith-Kelly,Engineering,Technical University of Munich,49
73,Mark,Smith-Howard,IT System Development,University of Lisbon,34
74,Lucas M. H.,Smith-Ramos,Construction,RWTH Aachen University,49
75,Betty,Smith-Kim,Food & Beverage,Harvard University,49
76,Patricia K. F.,Smith-Cox,Construction,Carnegie Mellon University,48
77,Andrew D. L.,Smith-Ward,Advertising & Marketing,KTH Royal Institute of Technology,34
78,Paul,Smith-Richardson,Government Services,Charles University,42
79,Henry L. R.,Smith-Watson,IT System Development,University of Bristol,49
80,Michael W. M.,Smith-Brooks,Insurance,Leiden University,27
81,Joshua,Smith-Chavez,Real Estate,California Institute of Technology,24
82,Paul I. P.,Smith-Wood,Retail,Cornell University,36
83,Giulia S. E.,Smith-James,Human Resources,University of Bristol,50
84,Christopher A. P.,Smith-Bennett,Software,Columbia University,52
85,Betty L. E.,Smith-Gray,Government Services,Imperial College London,38
86,Elijah O. P.,Smith-Mendoza,Telecommunications,University of Edinburgh,38
87,Mia K. J.,Smith-Ruiz,Software,Sapienza University of Rome,41
88,Kimberly X. P.,Smith-Hughes,Advertising & Marketing,ETH Zurich,36
89,Anthony,Smith-Price,Construction,University of Manchester,26
90,Thomas,Smith-Rossi,Health,UCL (University College London),26
91,Zoe Z. K.,Smith-Russo,Media,Politecnico di Milano,42
92,Benjamin M. T.,Smith-Ferrari,Construction,KU Leuven,28
93,Brian B. M.,Smith-Bianchi,Human Resources,Northwestern University,50
94,David K. D.,Smith-Romano,Business Products & Services,California Institute of Technology,38
95,Sophia J. N.,Smith-Esposito,Health,Complutense University of Madrid,36
96,Elena Q. E.,Smith-Greco,Financial Services,The University of Texas at Austin,27
97,Linda F. F.,Smith-Conti,Consumer Products & Services,KTH Royal Institute of Technology,40
98,Anthony G. R.,Smith-DeLuca,IT Management,KTH Royal Institute of Technology,45
99,Nancy,Smith-Costa,Business Products & Services,Princeton University,35
100,Sophia F. H.,Smith-Silva,Consumer Products & Services,Charles University,24
101,James P. Y.,Smith-Santos,Business Products & Services,University of Cambridge,42
102,Olivia D. G.,Smith-Ferreira,Consumer Products & Services,Politecnico di Milano,46
103,Anna X. G.,Smith-Pereira,Business Products & Services,Aristotle University of Thessaloniki,31
104,Emily M. N.,Smith-Oliveira,Retail,University of British Columbia,31
105,Elena X. I.,Smith-Muller,Human Resources,Delft University of Technology,37
106,Noah G. C.,Smith-Schmidt,Consumer Products & Services,École Polytechnique,44
107,Daniel,Smith-Schneider,Business Products & Services,University of Porto,53
108,Thomas,Smith-Fischer,Business Products & Services,Sorbonne University,44
109,Anna R. W.,Smith-Weber,IT Services,University of Cambridge,45
110,Ronald K. P.,Smith-Dubois,Retail,California Institute of Technology,35
111,Anthony,Smith-Moreau,Education,University of Barcelona,52
112,Margaret H. W.,Smith-Lefevre,Telecommunications,Ghent University,30
113,Kimberly,Smith-Laurent,Government Services,University of Bologna,51
114,Ethan T. G.,Smith-Leroy,Travel & Hospitality,Eindhoven University of Technology,42
115,Patricia S. I.,Smith-Bernard,Retail,University of Michigan,30
116,Grace S. N.,Smith-Petit,Software,Leiden University,52
117,Thomas L. A.,Smith-Durand,Business Products & Services,Duke University,38
118,Charles T. U.,Smith-Nowak,Business Products & Services,EPFL (École Polytechnique Fédérale de Lausanne),42
119,Edward Y. B.,Smith-Kowalski,Retail,University of Bristol,52
120,Abigail U. V.,Smith-Novak,Advertising & Marketing,University of Vienna,35
121,Barbara O. D.,Smith-Horvat,IT Management,Delft University of Technology,43
122,James O. U.,Smith-Popescu,Financial Services,London School of Economics and Political Science,46
123,Michael V. N.,Smith-Ionescu,Security,University of Oxford,30
124,Robert,Smith-Papadopoulos,Business Products & Services,RWTH Aachen University,40
125,David Y. F.,Smith-Georgiou,Logistics & Transportation,Princeton University,31
126,Nancy K. A.,Smith-Nikolaou,Real Estate,Technical University of Munich,48
127,Sandra,Smith-Kostas,Health,University of Vienna,27
128,Lisa,Smith-Andriou,Manufacturing,Johns Hopkins University,54
129,Richard C. G.,Smith-Vasileiou,Advertising & Marketing,University of Copenhagen,50
130,Michelle D. M.,Johnson-Smith,Health,Jagiellonian University,52
131,George Q. Z.,Johnson-Williams,Logistics & Transportation,Jagiellonian University,36
132,Donald,Johnson-Brown,IT System Development,Leiden University,44
133,Benjamin Z. W.,Johnson-Jones,Construction,Leiden University,35
134,Jennifer,Johnson-Garcia,Advertising & Marketing,University of Copenhagen,54
135,Lea P. K.,Johnson-Miller,Manufacturing,KU Leuven,44
136,William V. K.,Johnson-Davis,IT System Development,London School of Economics and Political Science,53
137,Emily F. Q.,Johnson-Rodriguez,Health,National and Kapodistrian University of Athens,36
138,David K. H.,Johnson-Martinez,Construction,University of Pennsylvania,52
139,Mary,Johnson-Hernandez,Software,University of Zurich,43
140,Lisa Q. N.,Johnson-Lopez,IT System Development,Charles University,35
141,Lisa H. T.,Johnson-Gonzalez,Financial Services,University of Oslo,34
142,Amelia M. W.,Johnson-Wilson,Government Services,"University of California, Berkeley",49
143,Susan,Johnson-Anderson,Energy,"University of California, Berkeley",47
144,Emily K. W.,Johnson-Thomas,Engineering,ETH Zurich,54
145,Ronald W. L.,Johnson-Taylor,Software,University of Glasgow,39
146,Jennifer O. U.,Johnson-Moore,Insurance,University of Geneva,33
147,George V. O.,Johnson-Jackson,Business Products & Services,Cornell University,48
148,Aria N. X.,Johnson-Martin,Construction,Johns Hopkins University,31
149,John V. C.,Johnson-Lee,Software,Harvard University,46
150,Brian Y. D.,Johnson-Perez,Insurance,University of Warwick,27
151,Linda,Johnson-Thompson,Real Estate,University of Warsaw,39
152,Linda,Johnson-White,Construction,Sorbonne University,25
153,Lily O. A.,Johnson-Harris,Financial Services,University of Barcelona,30
154,Elijah V. Z.,Johnson-Sanchez,Consumer Products & Services,ETH Zurich,30
155,Charlotte L. O.,Johnson-Clark,Retail,University of Edinburgh,45
156,Donald,Johnson-Ramirez,Health,Massachusetts Institute of Technology,37
157,Richard,Johnson-Lewis,Business Products & Services,University of Warwick,27
158,William G. X.,Johnson-Robinson,Engineering,EPFL (École Polytechnique Fédérale de Lausanne),49
159,Donald,Johnson-Walker,Construction,"University of California, San Diego",50
160,David Z. X.,Johnson-Young,Construction,"University of California, Los Angeles",43
161,Steven S. L.,Johnson-Allen,Food & Beverage,Aristotle University of Thessaloniki,33
162,George X. Q.,Johnson-King,Software,University of Bristol,50
163,Andrew S. S.,Johnson-Wright,IT Management,University of Amsterdam,53
164,Hugo W. G.,Johnson-Scott,Business Products & Services,University of Patras,31
165,Irene Z. Y.,Johnson-Torres,Government Services,McGill University,40
166,Betty,Johnson-Nguyen,Media,University of Toronto,41
167,Lea Y. Q.,Johnson-Hill,Construction,ETH Zurich,38
168,Evelyn G. M.,Johnson-Flores,Real Estate,Ghent University,53
169,Margaret,Johnson-Green,Human Resources,Georgia Institute of Technology,28
170,Patricia Y. Y.,Johnson-Adams,Business Products & Services,University of Edinburgh,35
171,Eleni Z. S.,Johnson-Nelson,Real Estate,University of Warwick,45
172,Matthew V. U.,Johnson-Baker,Financial Services,Cornell University,34
173,William P. J.,Johnson-Hall,Construction,University of Cambridge,40
174,Lea F. N.,Johnson-Rivera,Business Products & Services,ETH Zurich,41
175,Sandra,Johnson-Campbell,Education,University of Warsaw,54
176,Sarah,Johnson-Mitchell,Construction,University of Geneva,33
177,Giulia I. U.,Johnson-Carter,Real Estate,Duke University,40
178,Anthony D. K.,Johnson-Roberts,Manufacturing,Northwestern University,47
179,Thomas,Johnson-Phillips,Environmental Services,University of Bristol,48
180,Jennifer,Johnson-Evans,Software,LMU Munich,47
181,Thomas X. H.,Johnson-Turner,Financial Services,Charles University,38
182,Theo U. B.,Johnson-Diaz,Software,PSL University,45
183,Ella C. E.,Johnson-Parker,Business Products & Services,Heidelberg University,39
184,Donald,Johnson-Cruz,Retail,RWTH Aachen University,40
185,Michelle E. W.,Johnson-Edwards,Retail,University of Zurich,31
186,Camila X. K.,Johnson-Collins,Education,Trinity College Dublin,46
187,Jennifer,Johnson-Reyes,Health,University of Bristol,30
188,Henry D. P.,Johnson-Stewart,Manufacturing,London School of Economics and Political Science,35
189,Irene Z. X.,Johnson-Morris,Health,Uppsala University,29
190,Susan W. Z.,Johnson-Morales,Advertising & Marketing,University of Michigan,41
191,Donna,Johnson-Murphy,Business Products & Services,Aarhus University,42
192,Timothy Q. M.,Johnson-Cook,Government Services,McGill University,48
193,Donald,Johnson-Rogers,Advertising & Marketing,UCL (University College London),41
194,Liam W. T.,Johnson-Gutierrez,Logistics & Transportation,UCL (University College London),35
195,Marco B. H.,Johnson-Ortiz,Software,Georgia Institute of Technology,47
196,Andreas K. W.,Johnson-Morgan,Business Products & Services,University of Oxford,36
197,Noah J. U.,Johnson-Cooper,Telecommunications,Columbia University,24
198,Sophia Y. H.,Johnson-Peterson,Education,Politecnico di Milano,44
199,Olivia C. U.,Johnson-Bailey,Software,Imperial College London,32
200,John,Johnson-Reed,Advertising & Marketing,Politecnico di Milano,40
201,Robert H. C.,Johnson-Kelly,Health,"University of California, Berkeley",36
202,Thomas,Johnson-Howard,Business Products & Services,University of Toronto,48
203,Michelle,Johnson-Ramos,Food & Beverage,EPFL (École Polytechnique Fédérale de Lausanne),48
204,Lisa,Johnson-Kim,Construction,University of Glasgow,43
205,Jessica,Johnson-Cox,Advertising & Marketing,University of Cambridge,32
206,Michael E. A.,Johnson-Ward,Advertising & Marketing,University of Oslo,54
207,William,Johnson-Richardson,Advertising & Marketing,University of Bologna,27
