id,name,surname,researchfield,university,age
1,Michael,Smith-Johnson,Telecommunications,Autonomous University of Barcelona,36
2,Ashley A. J.,Smith-Williams,Human Resources,University of Porto,40
3,Anthony J. H.,Smith-Brown,Energy,Eindhoven University of Technology,24
4,James,Smith-Jones,Government Services,Yale University,45
5,Zoe L. S.,Smith-Garcia,Construction,Johns Hopkins University,43
6,Richard A. T.,Smith-Miller,Software,"University of California, Berkeley",34
7,Benjamin D. M.,Smith-Davis,Consumer Products & Services,University of Oslo,41
8,Linda,Smith-Rodriguez,Advertising & Marketing,The University of Texas at Austin,34
9,Lisa,Smith-Martinez,Real Estate,KU Leuven,28
10,Grace F. R.,Smith-Hernandez,Human Resources,Heidelberg University,29
11,Jacob S. N.,Smith-Lopez,Manufacturing,The University of Texas at Austin,37
12,Robert,Smith-Gonzalez,Business Products & Services,Leiden University,38
13,Eleni Y. S.,Smith-Wilson,Manufacturing,Sorbonne University,49
14,Camila J. Z.,Smith-Anderson,Advertising & Marketing,University of Amsterdam,53
15,Noah F. X.,Smith-Thomas,Health,Johns Hopkins University,24
16,Mary,Smith-Taylor,Real Estate,University of Barcelona,32
17,Mark S. S.,Smith-Moore,Health,University of Michigan,47
18,Joseph,Smith-Jackson,Construction,University of Cambridge,41
19,William P. S.,Smith-Martin,Software,Yale University,36
20,Irene J. B.,Smith-Lee,Logistics & Transportation,Jagiellonian University,40
21,Steven,Smith-Perez,Manufacturing,University of Patras,43
22,David,Smith-Thompson,Consumer Products & Services,University of Oslo,43
23,Susan X. U.,Smith-White,Environmental Services,École Polytechnique,44
24,Timothy W. V.,Smith-Harris,Construction,University of Edinburgh,49
25,Hannah X. E.,Smith-Sanchez,Retail,Yale University,49
26,Noemi A. R.,Smith-Clark,Advertising & Marketing,University of Helsinki,32
27,Michael,Smith-Ramirez,Real Estate,University of Helsinki,40
28,Ethan U. Q.,Smith-Lewis,Health,Humboldt University of Berlin,46
29,Andreas C. L.,Smith-Robinson,Logistics & Transportation,Ghent University,32
30,Noah C. J.,Smith-Walker,Food & Beverage,University of Toronto,49
31,Daniel,Smith-Young,Software,Autonomous University of Barcelona,27
32,Richard,Smith-Allen,Advertising & Marketing,Yale University,28
33,Betty U. Q.,Smith-King,Software,University of Oslo,41
34,Aria Y. C.,Smith-Wright,Travel & Hospitality,ETH Zurich,39
35,Andrew L. T.,Smith-Scott,Real Estate,University of Patras,26
36,Lily H. J.,Smith-Torres,Retail,PSL University,40
37,Lisa,Smith-Nguyen,Software,UCL (University College London),36
38,Michael,Smith-Hill,Business Products & Services,Trinity College Dublin,53
39,Mark,Smith-Flores,Advertising & Marketing,Sorbonne University,28
40,Zoe Y. D.,Smith-Green,Manufacturing,University of Toronto,48
41,Oskar S. I.,Smith-Adams,Government Services,RWTH Aachen University,44
42,Victoria I. C.,Smith-Nelson,Business Products & Services,University of Warwick,49
43,Sophia P. N.,Smith-Baker,Manufacturing,Ghent University,33
44,Christopher,Smith-Hall,Media,KU Leuven,37
45,Betty I. P.,Smith-Rivera,Software,Autonomous University of Barcelona,35
46,Donald K. Y.,Smith-Campbell,Food & Beverage,University of Valencia,25
47,Lisa F. Q.,Smith-Mitchell,Business Products & Services,University of Patras,37
48,Joseph R. I.,Smith-Carter,Financial Services,Delft University of Technology,48
49,Lucas Y. C.,Smith-Roberts,IT Management,University of Glasgow,46
50,Alexander X. W.,Smith-Phillips,Advertising & Marketing,Heidelberg University,31
51,Mateo X. U.,Smith-Evans,Advertising & Marketing,University of Valencia,26
52,Robert V. L.,Smith-Turner,Government Services,"University of California, Berkeley",41
53,Thomas,Smith-Diaz,Advertising & Marketing,University of Zurich,30
54,Noemi V. U.,Smith-Parker,Financial Services,University of Cambridge,25
55,Joseph,Smith-Cruz,Energy,Stockholm University,51
56,Noah I. Y.,Smith-Edwards,Consumer Products & Services,Georgia Institute of Technology,53
57,Elizabeth Q. V.,Smith-Collins,Human Resources,Harvard University,33
58,Donald W. W.,Smith-Reyes,Government Services,ETH Zurich,29
59,Lisa W. G.,Smith-Stewart,Advertising & Marketing,"University of California, San Diego",31
60,Katerina G. M.,Smith-Morris,Health,École Polytechnique,53
61,Isabella D. N.,Smith-Morales,IT System Development,Humboldt University of Berlin,44
62,Ashley F. X.,Smith-Murphy,Consumer Products & Services,Northwestern University,49
63,Donna,Smith-Cook,Computer Hardware,University of Bristol,44
64,Anthony,Smith-Rogers,Government Services,University of Lisbon,29
65,William,Smith-Gutierrez,Business Products & Services,University College Dublin,42
66,Emma V. J.,Smith-Ortiz,Construction,"University of California, San Diego",32
67,Matthew,Smith-Morgan,Real Estate,University of Vienna,42
68,Susan X. B.,Smith-Cooper,Health,"University of California, San Diego",46
69,Jeffrey X. E.,Smith-Peterson,IT Management,ETH Zurich,51
70,George C. D.,Smith-Bailey,Logistics & Transportation,Aarhus University,33
71,Noah O. S.,Smith-Reed,Insurance,University of Warsaw,47
72,Sandra,Smith-Kelly,Government Services,Université Paris-Saclay,34
73,Michael I. W.,Smith-Howard,Environmental Services,Uppsala University,30
74,Henry F. X.,Smith-Ramos,Financial Services,"University of California, Los Angeles",50
75,Abigail F. X.,Smith-Kim,Business Products & Services,University of Helsinki,37
76,Jason J. K.,Smith-Cox,Software,Sorbonne University,43
77,William,Smith-Ward,Advertising & Marketing,Autonomous University of Barcelona,35
78,Barbara W. D.,Smith-Richardson,Business Products & Services,Harvard University,32
79,Michelle Y. S.,Smith-Watson,Software,University of Pennsylvania,38
80,Barbara,Smith-Brooks,IT System Development,Northwestern University,34
81,Elena S. S.,Smith-Chavez,Food & Beverage,University of Porto,34
82,Sofia A. L.,Smith-Wood,Business Products & Services,University of Amsterdam,36
83,Paul O. S.,Smith-James,Construction,Technical University of Munich,52
84,David X. A.,Smith-Bennett,Financial Services,KTH Royal Institute of Technology,45
85,Chloe O. N.,Smith-Gray,Business Products & Services,UCL (University College London),27
86,Grace U. P.,Smith-Mendoza,Health,University of Amsterdam,34
87,Timothy L. P.,Smith-Ruiz,Insurance,University of Toronto,26
88,Margaret,Smith-Hughes,Health,Complutense University of Madrid,28
89,Mary K. Y.,Smith-Price,Logistics & Transportation,University of Amsterdam,41
90,Anna V. M.,Smith-Rossi,IT Management,KTH Royal Institute of Technology,34
91,Abigail A. M.,Smith-Russo,Engineering,UCL (University College London),38
92,Matthew L. K.,Smith-Ferrari,Human Resources,Humboldt University of Berlin,41
93,Henry Q. C.,Smith-Bianchi,Media,Imperial College London,46
94,Ella C. G.,Smith-Romano,Food & Beverage,University of Geneva,51
95,Barbara,Smith-Esposito,Travel & Hospitality,University of Helsinki,41
96,Maria J. G.,Smith-Greco,IT System Development,University of Amsterdam,50
97,Barbara A. E.,Smith-Conti,Health,University of Toronto,24
98,Richard D. T.,Smith-DeLuca,IT System Development,Johns Hopkins University,37
99,James U. J.,Smith-Costa,Education,École Polytechnique,28
100,Linda F. R.,Smith-Silva,Business Products & Services,Massachusetts Institute of Technology,37
101,David,Smith-Santos,IT Management,Georgia Institute of Technology,48
102,Paul M. Q.,Smith-Ferreira,IT Management,University of Porto,28
103,Kimberly P. C.,Smith-Pereira,Software,Aarhus University,27
104,Joseph Q. V.,Smith-Oliveira,Construction,KU Leuven,51
105,Noemi F. J.,Smith-Muller,Construction,Yale University,49
106,Ava N. R.,Smith-Schmidt,Construction,Sapienza University of Rome,28
107,Charles,Smith-Schneider,Advertising & Marketing,University of Warwick,54
108,Betty B. A.,Smith-Fischer,Consumer Products & Services,University of Valencia,32
109,Joseph M. D.,Smith-Weber,Software,Université Paris-Saclay,32
110,Ethan I. G.,Smith-Dubois,Manufacturing,University of Amsterdam,44
111,Barbara D. B.,Smith-Moreau,Advertising & Marketing,Delft University of Technology,33
112,Ava G. P.,Smith-Lefevre,IT Management,Yale University,29
113,John E. M.,Smith-Laurent,Business Products & Services,University of Porto,39
114,Donna X. I.,Smith-Leroy,Consumer Products & Services,University of Pennsylvania,44
115,Sandra,Smith-Bernard,Construction,University of Zurich,54
116,Donald N. O.,Smith-Petit,Advertising & Marketing,Charles University,43
117,Isabella H. C.,Smith-Durand,Engineering,Princeton University,44
118,Benjamin P. X.,Smith-Nowak,Construction,Heidelberg University,50
119,Mary,Smith-Kowalski,Manufacturing,Massachusetts Institute of Technology,46
120,Margaret,Smith-Novak,Consumer Products & Services,University of Patras,51
121,Nancy,Smith-Horvat,Security,London School of Economics and Political Science,35
122,Noah H. G.,Smith-Popescu,Food & Beverage,Humboldt University of Berlin,42
123,Katerina I. M.,Smith-Ionescu,IT System Development,ETH Zurich,45
124,Noemi L. U.,Smith-Papadopoulos,Software,RWTH Aachen University,24
125,Thomas,Smith-Georgiou,Business Products & Services,University of Geneva,42
126,Nancy V. L.,Smith-Nikolaou,Construction,University of Vienna,39
127,Jason G. R.,Smith-Kostas,Manufacturing,University of Michigan,44
128,Giannis B. J.,Smith-Andriou,Health,National and Kapodistrian University of Athens,24
129,Sarah G. B.,Smith-Vasileiou,Real Estate,École Polytechnique,53
130,Jeffrey Y. G.,Johnson-Smith,Human Resources,Humboldt University of Berlin,41
131,William F. T.,Johnson-Williams,Government Services,University of Warwick,52
132,Lily H. B.,Johnson-Brown,IT System Development,Carnegie Mellon University,46
133,Richard,Johnson-Jones,Logistics & Transportation,Trinity College Dublin,34
134,Matthew C. B.,Johnson-Garcia,Business Products & Services,University of Porto,44
135,Daniel,Johnson-Miller,Advertising & Marketing,Northwestern University,54
136,Charles V. O.,Johnson-Davis,Software,"University of California, San Diego",47
137,Victoria A. Z.,Johnson-Rodriguez,Software,University of Oslo,42
138,Theo Y. H.,Johnson-Martinez,Government Services,"University of California, Los Angeles",29
139,Lea R. X.,Johnson-Hernandez,Software,McGill University,44
140,Ryan B. E.,Johnson-Lopez,Logistics & Transportation,Delft University of Technology,34
141,Zoe D. Y.,Johnson-Gonzalez,Human Resources,Delft University of Technology,54
142,Mason S. N.,Johnson-Wilson,Health,Northwestern University,28
143,Paul,Johnson-Anderson,Engineering,University of Porto,35
144,Ella P. P.,Johnson-Thomas,Consumer Products & Services,University of Bristol,27
145,Mason P. X.,Johnson-Taylor,Real Estate,Princeton University,29
146,Emma D. J.,Johnson-Moore,Business Products & Services,University of Glasgow,36
147,Joshua,Johnson-Jackson,Energy,Humboldt University of Berlin,52
148,Andrew H. H.,Johnson-Martin,Construction,University of Toronto,47
149,Margaret N. F.,Johnson-Lee,Health,Delft University of Technology,28
150,Mateo J. X.,Johnson-Perez,Construction,University of British Columbia,54
151,Emma S. W.,Johnson-Thompson,IT Management,Columbia University,53
152,Donald,Johnson-White,Software,University of Lisbon,28
153,Steven O. C.,Johnson-Harris,Real Estate,University of Pennsylvania,52
154,Joshua U. O.,Johnson-Sanchez,Advertising & Marketing,UCL (University College London),51
155,Liam G. F.,Johnson-Clark,Health,University of Geneva,37
156,Jennifer,Johnson-Ramirez,Telecommunications,École Polytechnique,43
157,Mark R. X.,Johnson-Lewis,Advertising & Marketing,University of Barcelona,49
158,Nancy G. C.,Johnson-Robinson,Consumer Products & Services,University of Amsterdam,36
159,Margaret,Johnson-Walker,Insurance,Leiden University,44
160,Lisa L. J.,Johnson-Young,Human Resources,University of Vienna,51
161,Brian O. N.,Johnson-Allen,Manufacturing,Université Paris-Saclay,45
162,Noah K. U.,Johnson-King,Construction,Complutense University of Madrid,50
163,Ethan N. I.,Johnson-Wright,Insurance,University of Michigan,48
164,Alexander N. D.,Johnson-Scott,Software,London School of Economics and Political Science,31
165,Karen,Johnson-Torres,Retail,University of Michigan,44
166,Michelle X. Y.,Johnson-Nguyen,Business Products & Services,Complutense University of Madrid,33
167,Elizabeth,Johnson-Hill,Food & Beverage,Aristotle University of Thessaloniki,25
168,Lea H. G.,Johnson-Flores,IT Management,University of Bristol,26
169,Mark A. U.,Johnson-Green,Consumer Products & Services,Harvard University,40
170,Donald Z. A.,Johnson-Adams,IT Management,Aristotle University of Thessaloniki,54
171,Matthew,Johnson-Nelson,Logistics & Transportation,University of Edinburgh,52
172,Barbara,Johnson-Baker,Engineering,Columbia University,51
173,Anthony C. R.,Johnson-Hall,IT System Development,Columbia University,45
174,Evelyn A. A.,Johnson-Rivera,Logistics & Transportation,PSL University,25
175,Mia V. J.,Johnson-Campbell,Business Products & Services,ETH Zurich,35
176,Hannah J. E.,Johnson-Mitchell,Energy,EPFL (École Polytechnique Fédérale de Lausanne),39
177,Giulia H. I.,Johnson-Carter,IT Management,ETH Zurich,46
178,Steven C. N.,Johnson-Roberts,Consumer Products & Services,Trinity College Dublin,39
179,Jacob V. R.,Johnson-Phillips,Media,Sapienza University of Rome,45
180,Oskar Y. X.,Johnson-Evans,Retail,University of Copenhagen,37
181,Sofia Z. D.,Johnson-Turner,Real Estate,University of British Columbia,42
182,Anthony X. E.,Johnson-Diaz,Education,University of Edinburgh,26
183,Emma W. G.,Johnson-Parker,Business Products & Services,University of Helsinki,32
184,Sandra,Johnson-Cruz,Health,California Institute of Technology,44
185,Olivia C. A.,Johnson-Edwards,Financial Services,Eindhoven University of Technology,32
186,Michelle,Johnson-Collins,Health,Carnegie Mellon University,48
187,Noemi Y. C.,Johnson-Reyes,Education,Delft University of Technology,34
188,Nikolai T. K.,Johnson-Stewart,Advertising & Marketing,University of Geneva,52
189,Charles,Johnson-Morris,Health,Ghent University,41
190,Noemi M. D.,Johnson-Morales,Manufacturing,Princeton University,54
191,Giulia T. V.,Johnson-Murphy,Real Estate,Eindhoven University of Technology,53
192,Patricia,Johnson-Cook,IT System Development,Sorbonne University,27
193,Jessica V. G.,Johnson-Rogers,Logistics & Transportation,KTH Royal Institute of Technology,35
194,Oliver J. Q.,Johnson-Gutierrez,Construction,Columbia University,43
195,Oskar L. N.,Johnson-Ortiz,Software,University of Bologna,49
196,Amelia C. Z.,Johnson-Morgan,Software,University of Michigan,40
197,Hugo U. L.,Johnson-Cooper,Software,Imperial College London,48
198,Christopher S. R.,Johnson-Peterson,Security,University of Geneva,38
199,Emma O. X.,Johnson-Bailey,Health,University of Vienna,24
200,Timothy X. Q.,Johnson-Reed,Business Products & Services,University of Amsterdam,33
201,Susan,Johnson-Kelly,Engineering,Johns Hopkins University,34
202,Anna E. U.,Johnson-Howard,Consumer Products & Services,Trinity College Dublin,29
203,Susan A. Y.,Johnson-Ramos,Business Products & Services,University of Pennsylvania,28
204,Sandra,Johnson-Kim,Construction,Ghent University,45
205,Steven Z. C.,Johnson-Cox,Human Resources,Columbia University,39
206,Grace C. W.,Johnson-Ward,Consumer Products & Services,University of Michigan,40
207,Ryan Q. B.,Johnson-Richardson,Retail,University of Manchester,33
208,Barbara,Johnson-Watson,Manufacturing,EPFL (École Polytechnique Fédérale de Lausanne),29
209,Maria N. E.,Johnson-Brooks,Government Services,Leiden University,47
210,Andrew,Johnson-Chavez,Government Services,University of Oslo,24
211,Grace L. A.,Johnson-Wood,Human Resources,Leiden University,47
212,Zoe E. U.,Johnson-James,Logistics & Transportation,LMU Munich,32
213,Patricia,Johnson-Bennett,Advertising & Marketing,PSL University,50
214,Chloe M. U.,Johnson-Gray,Business Products & Services,KTH Royal Institute of Technology,45
215,Lily M. G.,Johnson-Mendoza,Financial Services,UCL (University College London),45
216,Joseph,Johnson-Ruiz,Health,University of Glasgow,39
217,Linda,Johnson-Hughes,Business Products & Services,Massachusetts Institute of Technology,41
218,Joshua,Johnson-Price,Business Products & Services,University of Bologna,36
219,Michael,Johnson-Rossi,Retail,University of Amsterdam,50
220,Giannis R. E.,Johnson-Russo,Government Services,KTH Royal Institute of Technology,40
221,Charles F. R.,Johnson-Ferrari,Software,University of Vienna,32
222,Mason S. U.,Johnson-Bianchi,Health,University of Glasgow,54
223,Michael O. R.,Johnson-Romano,Financial Services,University of Geneva,33
224,Susan Y. W.,Johnson-Esposito,IT Management,Delft University of Technology,39
225,James G. M.,Johnson-Greco,Business Products & Services,Cornell University,48
226,Jessica S. R.,Johnson-Conti,Construction,Columbia University,35
