id,name,surname,researchfield,university,age
1,Max,Sanchez,Software,Aalto University,24
2,Hugo,Scott,Construction,Aristotle University of Thessaloniki,37
3,Chloe,Lombardi,Environmental Services,Chalmers University of Technology,32
4,Angelina,Thomas,Health,University of Barcelona,28
5,Irene,Lee,Education,The University of Edinburgh,25
6,Alice,Martin,Advertising & Marketing,University of Geneva,38
7,Laura,Lopez,Business Products & Services,Ghent University,24
8,Leah,Lombardi,Business Products & Services,University of Strasbourg,36
9,Evelyn,Wright,Business Products & Services,University of Lisbon,40
10,Christopher,Wright,Advertising & Marketing,University of Zurich,28
11,Rebecca,Rossi,Human Resources,Chalmers University of Technology,28
12,Jasmine,Walker,Software,Aristotle University of Thessaloniki,38
13,Nicholas,Carter,Software,Trinity College Dublin,21
14,Elisa,Clark,Construction,Tel Aviv University,25
15,Max,Green,Food & Beverage,The University of Manchester,20
16,Dimitris,Sanchez,Food & Beverage,University College London,39
17,Catherine,Lopez,Software,University of Strasbourg,38
18,Joseph,Davis,Government Services,Tel Aviv University,19
19,Evelyn,Martin,Health,Jagiellonian University,29
20,Leah,Garcia,Media,Imperial College London,23
21,Isabella,Muller,Consumer Products & Services,National and Kapodistrian University of Athens,19
22,Oscar,Muller,Environmental Services,National and Kapodistrian University of Athens,38
23,Irene,Lopez,Business Products & Services,University of Ljubljana,18
24,Grace,Perez,Government Services,University of Groningen,29
25,Lucy,Young,Energy,National and Kapodistrian University of Athens,39
26,Penelope,Gonzalez,Software,Aristotle University of Thessaloniki,29
27,Harris,Jackson,Energy,Technical University of Munich,34
28,Christopher,Lombardi,IT Management,Aristotle University of Thessaloniki,27
29,Nicole,Hall,Advertising & Marketing,University of Patras,33
30,Peter,Garcia,Advertising & Marketing,The University of Edinburgh,32
31,Ivy,Thomas,Health,Aristotle University of Thessaloniki,32
32,Benjamin,Allen,Energy,Technical University of Munich,36
33,Lucas,Gonzalez,Consumer Products & Services,Imperial College London,29
34,Christos,Lombardi,Health,National and Kapodistrian University of Athens,40
35,Bianca,Garcia,Retail,University of Strasbourg,37
36,Roman,Clark,Real Estate,Trinity College Dublin,20
37,James,Novak,Software,Aarhus University,22
38,Martin,Walker,Business Products & Services,Sapienza University of Rome,36
39,Evelyn,Horvath,Business Products & Services,National and Kapodistrian University of Athens,24
40,Christina,Martinez,Software,University of Amsterdam,38
41,Sara,Nielsen,IT Management,Stockholm University,26
42,Arthur,Sanchez,Financial Services,University of Barcelona,24
43,Isabella,Wright,Engineering,Delft University of Technology,35
44,Sofia,Carter,Retail,University of Belgrade,21
45,Henry,Perez,Software,University of Geneva,31
46,Roxanne,Kowalski,Advertising & Marketing,Aarhus University,35
47,Zoe,Jackson,Construction,Imperial College London,26
48,Irene,Johnson,Food & Beverage,Eindhoven University of Technology,38
49,Dimitris,Lopez,Consumer Products & Services,Aarhus University,19
50,Diana,White,Advertising & Marketing,Leiden University,37
51,David,King,Advertising & Marketing,Charles University,32
52,Michael,Moore,Human Resources,Aristotle University of Thessaloniki,24
53,Andreas,Perez,Construction,Ghent University,29
54,Theodora,Brown,Business Products & Services,University of Belgrade,25
55,Lucas,Baker,Financial Services,National and Kapodistrian University of Athens,32
56,Mark,Nielsen,Health,KU Leuven,20
57,James,Gonzalez,Advertising & Marketing,Utrecht University,31
58,Andreas,Thompson,Security,University of Vienna,34
59,Penelope,Kowalski,IT Management,National and Kapodistrian University of Athens,21
60,Leo,Gonzalez,Software,University of Ljubljana,35
61,Eva,Perez,Software,University of Ljubljana,25
62,Jack,Walker,Environmental Services,University of Geneva,21
63,Marina,Young,Education,Ghent University,19
64,Richard,Hall,Logistics & Transportation,University of Patras,23
65,Chloe,Walker,Insurance,University of Patras,39
66,Leah,Thompson,Health,The University of Manchester,27
67,Jack,Brown,Retail,The University of Manchester,21
68,Maria,White,Telecommunications,Technion – Israel Institute of Technology,39
69,Christopher,Wright,Business Products & Services,Aarhus University,35
70,Alice,Dubois,Consumer Products & Services,University of Patras,29
71,Noah,Martin,IT Management,University of Bern,19
72,Chloe,Harris,IT Management,National and Kapodistrian University of Athens,27
73,Dimitris,Rossi,Education,University of Warsaw,21
74,Veronica,Williams,Health,KU Leuven,31
75,Julia,Lee,Health,ETH Zurich,33
76,Emily,Young,IT System Development,Utrecht University,32
77,Jack,Perez,Telecommunications,EPFL,25
78,Alice,Martin,Security,Aristotle University of Thessaloniki,31
79,Christina,Adams,Retail,KU Leuven,40
80,Georgia,Taylor,Software,EPFL,25
81,Elisa,Green,Health,Lund University,38
82,Maria,Moore,Business Products & Services,University of Patras,33
83,Liam,Nielsen,Consumer Products & Services,Sciences Po,30
84,Anthony,Rossi,Media,National and Kapodistrian University of Athens,35
85,Matthew,Garcia,Government Services,National and Kapodistrian University of Athens,32
86,Leah,Mitchell,Health,Sapienza University of Rome,38
87,Martin,Mitchell,Financial Services,Aristotle University of Thessaloniki,30
88,Christina,Harris,Construction,Politecnico di Milano,26
